id,density,hardness,conductivity,cost
M0090,8.139,2.367,23.167,144.93
M0091,3.555,2.249,94.273,140.03
M0092,11.272,6.768,64.965,198.29
M0093,11.89,2.637,60.774,30.04
M0094,9.297,4.111,51.269,25.3
M0095,12.023,9.071,23.067,146.25
M0096,8.419,5.266,17.653,117.79
M0097,8.796,7.008,22.049,58.46
M0098,7.558,2.551,18.644,20.49
M0099,2.33,2.731,77.958,21.7
M0100,3.403,1.368,35.013,179.37
M0101,2.409,2.52,5.784,42.41
M0102,10.273,3.507,96.91,68.06
M0103,6.087,2.593,88.379,49.2
M0104,8.611,1.798,92.775,74.22
M0105,13.798,2.086,99.491,18.54
M0106,5.241,5.147,17.39,106.22
M0107,7.335,2.857,39.624,18.18
M0108,11.822,4.278,75.824,161.07
M0109,4.974,5.531,69.602,50.57
M0110,3.001,7.214,15.39,110.3
M0111,5.767,1.354,81.583,176.62
M0112,4.096,8.195,22.444,131.92
M0113,14.086,6.651,22.382,108.93
M0114,12.506,1.736,53.697,68.25
M0115,10.234,8.862,59.294,69.94
M0116,13.329,9.288,58.009,135.55
M0117,12.448,1.55,9.149,198.86
M0118,4.425,3.492,87.746,134.06
M0119,13.603,8.256,26.56,113.77
M0120,9.011,7.734,12.951,147.48
M0121,12.497,2.661,88.875,95.72
M0122,13.649,2.884,95.565,16.73
M0123,6.134,4.334,86.213,114.65
M0124,3.431,5.361,80.952,191.74
M0125,4.963,6.564,65.524,39.18
M0126,7.552,4.32,55.086,139.55
M0127,12.634,5.163,8.699,44.18
M0128,13.189,7.727,40.845,109.49
M0129,2.09,1.33,37.269,23.85
M0130,8.64,3.272,25.975,92.82
M0131,7.426,7.42,72.342,152.45
M0132,4.887,9.057,49.588,72.78
M0133,3.558,5.605,8.105,134.66
M0134,6.389,5.789,22.018,160.11
M0135,14.258,1.965,68.326,185.8
M0136,6.202,5.027,7.613,50.76
M0137,8.744,5.794,85.121,82.87
M0138,11.139,3.182,49.515,34.72
M0139,6.727,3.423,48.059,198.53
M0140,14.633,4.396,59.241,185.77
M0141,14.512,1.181,82.468,110.29
M0142,5.273,3.899,34.781,169.2
M0143,8.464,2.903,67.802,106.59
M0144,5.911,3.947,56.573,126.6
M0145,5.703,2.078,26.703,22.38
M0146,2.48,9.015,87.863,152.28
M0147,9.924,6.342,79.743,29.9
M0148,8.535,7.112,65.845,166.08
M0149,2.669,8.103,85.058,157.5
M0150,5.622,5.486,86.729,143.21
M0151,13.807,1.782,70.836,12.05
M0152,5.114,5.834,83.701,64.11
M0153,3.884,6.282,69.747,56.31
M0154,8.363,7.709,68.014,75.23
M0155,14.813,4.885,61.861,22.09
M0156,5.147,2.148,75.272,187.71
M0157,10.738,3.554,15.861,112.99
M0158,11.901,4.268,88.087,64.58
M0159,5.089,6.813,87.184,82.41
M0160,11.467,6.137,2.925,92.2
M0161,6.781,4.205,82.582,122.12
M0162,10.22,9.879,12.887,105.56
M0163,10.236,6.452,33.512,184.28
M0164,8.965,3.135,74.351,101.91
M0165,3.174,1.916,16.076,198.47
M0166,12.859,2.376,81.797,171.03
M0167,6.17,3.214,83.213,45.66
M0168,4.425,2.446,50.747,186.47
M0169,2.53,2.679,0.639,27.69
M0170,9.682,3.566,28.704,164.4
M0171,10.808,2.56,61.693,79.22
M0172,2.216,9.071,98.119,176.2
M0173,8.657,1.722,63.181,174.27
M0174,4.944,5.721,25.98,162.16
M0175,10.387,4.694,63.401,159.06
M0176,4.267,9.841,53.999,64.41
M0177,10.982,2.008,77.985,20.78
M0178,7.028,4.581,10.698,83.58
M0179,14.177,9.725,76.103,38.84
M0180,3.788,8.79,54.127,140.52
M0181,6.434,8.354,96.299,72.49
M0182,3.475,3.321,34.187,195.24
M0183,14.021,2.538,63.262,129.99
M0184,13.405,7.018,93.203,165.38
M0185,5.353,9.364,10.251,30.84
M0186,10.58,6.011,93.723,173.09
M0187,12.624,6.145,68.789,184.94
M0188,9.218,3.52,6.784,99.98
M0189,8.885,7.925,30.096,123.22
M0190,5.144,2.683,70.817,154.14
M0191,3.21,3.913,6.735,39.09
M0192,13.664,4.829,58.217,103.0
M0193,13.705,5.568,34.588,82.74
M0194,10.23,3.182,62.092,33.54
M0195,6.407,2.034,4.574,76.67
M0196,6.54,6.496,87.154,18.29
M0197,11.437,3.598,97.349,10.03
M0198,13.662,6.231,96.888,31.36
M0199,13.532,2.389,74.965,192.81
M0200,12.138,5.33,13.009,112.16
M0201,10.346,5.793,75.826,193.34
M0202,3.094,1.466,2.459,89.34
M0203,4.101,4.029,2.212,65.8
M0204,13.681,2.21,32.361,103.7
M0205,9.884,1.57,48.864,90.7
M0206,2.12,9.91,77.041,25.6
M0207,3.319,3.901,68.33,129.96
M0208,10.626,8.289,44.59,47.13
M0209,2.066,3.292,27.363,125.82
M0210,4.091,7.134,99.712,131.79
M0211,9.134,7.842,42.618,34.64
M0212,10.995,6.361,45.139,16.96
M0213,10.475,5.244,16.362,157.25
M0214,4.916,4.707,79.481,94.66
M0215,11.258,4.14,69.368,16.34
M0216,5.084,9.366,22.077,199.0
M0217,6.23,8.476,8.238,16.27
M0218,11.704,9.685,68.05,140.53
M0219,10.445,2.119,65.451,196.82
M0220,13.04,7.578,27.326,51.64
M0221,10.549,9.445,95.086,32.74
M0222,9.388,2.631,15.106,28.67
M0223,3.218,1.598,43.233,64.14
M0224,6.78,7.67,94.362,24.7
M0225,5.448,6.17,41.973,139.97
M0226,5.172,8.576,63.853,17.15
M0227,14.649,2.258,39.759,104.34
M0228,7.11,8.157,27.422,199.36
M0229,13.597,2.815,98.398,163.72
M0230,10.205,2.473,40.933,124.97
M0231,12.333,2.478,89.41,64.72
M0232,8.534,8.331,22.995,126.66
M0233,9.5,6.987,21.31,107.77
M0234,8.403,5.708,3.113,88.09
M0235,4.538,4.229,65.167,30.49
M0236,11.392,8.895,36.853,177.89
M0237,5.65,4.532,86.436,92.71
M0238,2.316,8.349,47.321,42.95
M0239,10.391,4.952,96.819,76.71
M0240,4.302,4.392,18.553,85.76
M0241,14.226,5.164,86.862,166.37
M0242,14.401,3.712,77.66,148.05
M0243,13.893,7.728,77.092,155.01
M0244,6.812,5.524,84.478,7.15
M0245,2.201,3.09,76.102,86.15
M0246,14.068,9.096,62.622,98.86
M0247,7.566,4.455,13.124,8.74
M0248,14.567,5.892,3.253,55.66
M0249,14.527,9.158,92.085,153.26
M0250,13.089,6.618,61.665,31.74
M0251,5.828,2.052,79.654,109.39
M0252,7.006,9.458,48.152,46.96
M0253,13.065,6.649,11.731,7.36
M0254,6.12,4.014,12.519,52.03
M0255,4.203,2.253,68.557,195.3
M0256,9.238,8.146,43.031,161.3
M0257,14.17,6.581,20.052,192.12
M0258,11.048,5.801,49.159,100.13
M0259,9.411,9.045,6.421,26.4
M0260,3.263,8.097,58.197,111.85
M0261,9.995,2.365,26.899,93.6
M0262,14.871,3.805,79.756,169.65
M0263,3.821,3.236,31.036,24.13
M0264,8.738,7.696,45.522,100.21
M0265,13.406,1.302,1.162,34.26
M0266,11.63,6.129,7.245,68.31
M0267,11.061,7.862,39.249,148.78
M0268,11.132,8.891,47.994,97.82
M0269,6.673,4.079,60.002,78.3
M0270,5.817,8.391,29.166,81.92
M0271,12.522,1.996,69.498,94.59
M0272,12.531,8.618,86.012,158.08
M0273,13.272,2.147,77.985,178.96
M0274,13.872,4.576,3.962,191.29
M0275,8.647,8.176,48.051,158.45
M0276,8.52,2.349,10.493,66.5
M0277,12.378,3.063,24.205,139.19
M0278,10.45,7.5,98.666,90.33
M0279,11.126,7.48,14.25,54.66
M0280,12.345,6.77,49.889,168.97
M0281,13.57,7.246,61.816,12.49
M0282,6.394,5.885,70.246,180.84
M0283,6.883,3.266,55.965,94.99
M0284,3.222,4.111,0.977,129.25
M0285,9.518,2.634,32.646,133.57
M0286,2.467,9.176,51.771,179.55
M0287,8.053,6.251,8.787,129.15
M0288,9.054,4.608,35.063,124.72
M0289,5.725,5.158,3.32,18.0
M0290,9.681,9.526,7.858,106.09
M0291,2.397,2.38,39.692,34.28
M0292,2.486,6.276,13.272,148.8
M0293,12.694,5.553,56.754,104.88
M0294,6.682,6.503,68.946,137.64
M0295,3.652,1.163,80.059,13.13
M0296,8.789,8.849,20.015,21.53
M0297,12.01,9.389,16.748,144.68
M0298,4.806,6.086,10.457,19.06
M0299,10.098,7.27,63.643,18.9
M0300,3.11,9.302,70.648,7.36
M0301,2.672,7.365,3.159,191.52
M0302,8.908,2.373,93.621,148.81
M0303,9.028,6.187,5.197,73.88
M0304,10.287,6.46,54.13,62.82
M0305,11.439,4.817,70.906,73.19
M0306,14.686,7.628,87.097,156.06
M0307,8.712,9.409,71.409,133.97
M0308,6.198,9.33,80.173,41.11
M0309,12.337,5.058,33.945,38.95
M0310,5.521,2.019,81.483,24.19
M0311,7.707,9.864,8.011,133.76
M0312,3.02,8.55,89.482,154.05
M0313,2.33,2.122,54.759,56.68
M0314,14.514,9.288,81.73,9.08
M0315,12.868,8.829,45.232,21.02
M0316,11.048,5.67,64.358,193.73
M0317,7.316,6.321,52.64,62.61
M0318,4.253,4.591,73.159,155.0
M0319,4.034,1.493,8.163,126.81
M0320,5.253,4.017,6.035,79.48
M0321,9.14,8.226,24.71,45.11
M0322,11.29,1.042,15.954,28.67
M0323,10.583,4.001,87.178,124.93
M0324,5.639,4.584,21.921,156.05
M0325,14.413,5.837,97.587,130.56
M0326,11.593,9.279,33.69,108.41
M0327,9.207,4.117,18.212,13.18
M0328,9.952,4.123,78.97,193.86
M0329,7.455,7.638,65.871,160.75
M0330,5.221,5.07,49.82,62.1
M0331,6.628,3.021,55.536,196.09
M0332,11.852,5.072,71.92,122.37
M0333,2.187,2.268,22.845,118.57
M0334,3.509,2.587,99.633,150.87
M0335,2.598,5.485,97.479,163.3
M0336,2.529,4.77,65.033,133.01
M0337,13.121,9.234,19.954,29.98
M0338,11.148,4.262,68.023,70.96
M0339,8.164,6.225,7.22,185.98
M0340,3.272,6.69,3.065,48.8
M0341,8.391,1.118,25.768,77.57
M0342,8.155,6.972,46.262,89.25
M0343,4.252,2.602,86.827,90.68
M0344,7.64,9.65,72.717,124.52
M0345,7.181,2.338,74.271,188.9
M0346,10.006,4.732,42.549,51.94
M0347,10.256,1.768,34.593,28.69
M0348,2.589,9.972,37.104,43.51
M0349,6.87,5.52,98.765,177.95
M0350,10.136,6.358,4.011,130.93
M0351,8.541,1.604,86.703,60.75
M0352,13.134,7.75,57.868,164.11
M0353,10.563,2.889,43.862,172.97
M0354,4.118,9.082,72.526,170.07
M0355,2.917,2.846,48.667,184.19
M0356,10.351,2.716,87.342,54.19
M0357,2.345,1.329,90.07,152.23
M0358,9.615,5.249,42.172,94.81
M0359,14.223,6.084,27.683,169.19
M0360,9.481,1.591,59.235,147.06
M0361,7.046,7.98,91.236,156.41
M0362,10.363,5.08,21.066,132.95
M0363,7.957,5.72,62.297,39.6
M0364,9.093,4.967,63.156,111.28
M0365,14.239,4.607,73.311,197.01
M0366,7.019,6.037,13.157,187.79
M0367,14.495,2.397,71.582,13.42
M0368,13.77,2.637,90.903,37.14
M0369,4.545,8.756,17.968,30.69
M0370,2.902,9.515,23.754,146.57
M0371,3.31,4.36,97.14,164.47
M0372,2.237,3.437,18.098,46.63
M0373,3.228,6.796,85.439,103.64
M0374,10.879,4.679,49.228,168.94
M0375,2.925,1.228,24.723,147.9
M0376,6.147,2.405,87.075,110.74
M0377,12.983,7.444,44.531,120.12
M0378,2.303,6.93,51.482,104.13
M0379,12.588,1.244,35.923,63.02
M0380,5.664,2.998,59.295,115.18
M0381,3.536,3.08,16.352,139.33
M0382,11.058,7.047,39.108,175.3
M0383,10.176,1.177,96.941,129.08
M0384,13.407,1.937,25.813,153.42
M0385,11.556,8.199,65.674,36.21
M0386,12.445,2.607,32.519,95.0
M0387,5.666,6.875,77.347,6.82
M0388,4.307,3.144,13.087,53.1
M0389,11.758,1.895,96.982,146.66
M0390,12.489,3.189,45.379,198.4
M0391,14.877,7.5,23.605,24.34
M0392,7.364,8.701,7.35,83.29
M0393,6.836,8.472,16.976,161.01
M0394,12.093,4.575,51.977,44.79
M0395,6.43,7.013,33.7,113.24
M0396,14.1,2.845,82.888,147.95
M0397,13.159,3.638,43.089,125.12
M0398,7.577,9.067,24.871,41.66
M0399,11.761,1.117,61.714,74.3
M0400,11.809,1.77,70.678,157.84
M0401,3.341,2.871,16.704,113.07
M0402,13.733,1.239,16.762,6.02
M0403,8.568,2.633,3.667,153.39
M0404,12.744,6.247,73.64,11.89
M0405,6.161,4.793,66.38,150.42
M0406,13.642,9.034,47.463,44.48
M0407,7.06,8.357,84.417,191.82
M0408,2.141,4.076,80.567,76.75
M0409,13.77,3.335,58.535,68.75
M0410,3.187,4.417,86.827,34.03
M0411,6.151,6.313,20.584,64.59
M0412,14.351,3.413,11.192,175.95
M0413,14.358,6.617,26.975,199.29
M0414,9.455,4.685,5.709,76.82
M0415,10.214,5.968,53.117,92.48
M0416,7.83,4.925,93.661,145.8
M0417,5.812,3.65,3.934,177.81
M0418,6.273,9.536,12.211,120.64
M0419,10.743,7.872,45.22,81.35
M0420,11.781,2.261,93.388,85.46
M0421,12.291,8.816,31.616,140.65
M0422,12.265,5.387,50.723,5.63
M0423,3.186,9.051,4.157,125.82
M0424,8.427,8.199,14.834,74.32
M0425,2.748,4.827,98.663,159.87
M0426,9.144,1.202,96.512,23.13
M0427,7.74,3.418,0.494,119.7
M0428,13.54,5.875,95.181,98.79
M0429,6.562,6.701,63.912,130.25
M0430,3.522,3.321,86.792,17.65
M0431,3.859,2.254,45.474,118.1
M0432,11.9,8.514,51.56,114.49
M0433,10.037,9.86,48.885,114.33
M0434,3.315,5.731,66.686,122.68
M0435,3.093,2.545,13.965,136.91
M0436,11.113,3.451,2.997,161.97
M0437,2.946,1.166,30.793,57.62
M0438,12.684,9.229,70.468,165.88
M0439,11.181,2.06,20.185,102.16
M0440,3.058,6.189,67.343,20.03
M0441,3.103,3.466,96.991,16.42
M0442,14.826,5.988,9.39,70.18
M0443,6.866,6.863,67.26,158.05
M0444,6.818,8.468,44.375,143.0
M0445,12.566,2.858,86.814,158.78
M0446,14.314,1.099,17.715,105.87
M0447,14.818,2.232,69.263,90.84
M0448,11.794,9.1,83.812,33.75
M0449,6.891,8.865,94.461,69.0
M0450,3.086,6.377,68.325,89.63
M0451,12.103,6.405,49.717,22.28
M0452,9.259,6.985,61.785,48.02
M0453,7.515,2.578,86.89,121.65
M0454,13.783,9.23,57.061,148.45
M0455,3.446,4.769,3.039,199.68
M0456,8.404,4.448,93.095,186.96
M0457,2.148,5.67,68.953,130.3
M0458,8.093,1.423,67.651,87.14
M0459,2.732,2.497,21.568,129.05
M0460,3.545,7.642,65.889,158.2
M0461,3.528,1.745,39.386,28.08
M0462,10.44,6.428,65.123,84.93
M0463,11.699,3.208,10.659,168.76
M0464,9.584,4.504,65.785,79.85
M0465,14.508,3.598,99.941,116.52
M0466,6.873,4.201,4.821,119.62
M0467,5.714,7.471,97.717,40.97
M0468,13.292,3.674,40.691,75.64
M0469,4.907,6.098,87.075,70.23
M0470,14.522,5.284,78.239,10.11
M0471,2.158,6.973,56.702,9.72
M0472,14.608,9.431,73.845,167.18
M0473,2.561,7.593,87.852,58.25
M0474,13.585,2.934,40.414,106.03
M0475,8.86,1.281,32.703,63.25
M0476,14.909,3.36,66.759,188.43
M0477,2.959,6.356,80.785,55.56
M0478,9.2,1.463,76.229,88.78
M0479,14.601,5.467,79.781,175.18
M0480,8.8,6.372,43.558,169.18
M0481,10.182,4.008,81.783,41.29
M0482,11.045,7.938,12.021,161.52
M0483,7.909,1.959,54.449,94.35
M0484,10.158,1.676,0.576,99.18
M0485,9.596,7.554,32.459,31.03
M0486,13.715,5.459,36.646,20.72
M0487,2.591,7.196,39.617,146.95
M0488,5.653,4.913,69.547,101.81
M0489,14.355,3.218,38.856,90.19
M0490,13.573,8.372,44.869,147.25
M0491,7.924,8.195,23.754,154.28
M0492,10.062,7.252,37.325,35.99
M0493,5.606,3.449,22.727,123.99
M0494,4.446,6.312,7.32,31.39
M0495,8.028,4.249,60.345,151.52
M0496,6.594,1.824,66.821,133.11
M0497,9.588,9.256,61.949,191.54
M0498,3.011,2.231,46.349,18.45
M0499,14.667,9.552,37.979,16.13
M0500,14.821,5.014,86.333,60.03
